,Brands,Wattage,Ratings,Price,Original_price,Discount,No_of_rating,No_of_review
466,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
467,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
468,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
469,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
470,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
471,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
472,Butterfly,750 W,4.3,"₹4,499","₹8,199",45% off,"90,390 Ratings","16,508 Reviews"
473,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
474,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
475,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
476,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
477,Longway,700 W,4.3,"₹1,599","₹4,199",61% off,"37,031 Ratings","11,353 Reviews"
478,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
479,BAJAJ,500 W,4.2,"₹2,099","₹4,125",49% off,"10,490 Ratings","5,562 Reviews"
480,Longway,750 W,4.2,"₹1,499","₹3,889",61% off,"59,904 Ratings","43,544 Reviews"
481,Flipkart,500 W,4,₹999,"₹3,590",72% off,"2,911 Ratings",
482,Moonstruck,750 W,4.2,"₹1,399","₹3,999",65% off,"8,004 Ratings","1,743 Reviews"
483,Flipkart,500 W,4.1,"₹1,149","₹2,799",58% off,"32,899 Ratings","15,674 Reviews"
484,Pigeon,500 W,3.9,"₹1,649","₹4,995",66% off,"23,120 Ratings","1,482 Reviews"
485,Butterfly,750 W,4.3,"₹3,399","₹6,499",47% off,"90,390 Ratings","16,508 Reviews"
486,DIGISMART,500 W,4.4,₹899,"₹2,990",69% off,"22,449 Ratings","6,644 Reviews"
487,Longway,750 W,4.2,"₹1,499","₹3,899",61% off,"59,904 Ratings","43,544 Reviews"
488,Prestige,750 W,4.2,"₹2,999","₹5,995",49% off,"33,333 Ratings","13,154 Reviews"
489,Flipkart,550 W,4,"₹1,099","₹2,810",60% off,"2,911 Ratings",
490,MAHARAJA,550 W,4,"₹2,799","₹5,399",48% off,"23,696 Ratings","2,181 Reviews"
491,Athots,550 W,4.3,₹999,"₹2,999",66% off,"8,818 Ratings","3,426 Reviews"
492,Prestige,750 W,4.2,"₹2,799","₹6,295",55% off,"33,333 Ratings","13,154 Reviews"
493,Ghoba,150 W,3.2,₹499,"₹2,199",77% off,"6,668 Ratings",
494,Growsmart,1100 W,4.2,"₹1,599","₹4,999",68% off,,
495,Growsmart,750 W,4,"₹1,144","₹3,799",69% off,,
496,Ghoba,300 W,3.1,₹515,"₹2,499",79% off,"1,941 Ratings",
497,NutriPro,500 W,4.3,"₹1,799","₹6,000",70% off,"25,090 Ratings","3,074 Reviews"
498,Sansui,500 W,4.1,"₹1,249","₹3,599",65% off,"56,116 Ratings","4,878 Reviews"
499,NutriPro,500 W,4.3,"₹1,599","₹5,000",68% off,"25,090 Ratings","3,074 Reviews"
500,Butterfly,500 W,4.1,"₹1,999","₹3,699",45% off,"20,482 Ratings","37,475 Reviews"
501,Longway,550 W,4.1,"₹1,398","₹3,699",62% off,"7,416 Ratings","1,529 Reviews"
502,Butterfly,500 W,4.1,"₹2,299","₹3,999",42% off,"20,482 Ratings","37,475 Reviews"
503,FRONY,450 W,3,,,,,
